fund_type,fund_style,asset_size,ranking_score,current_stocks,current_bonds,current_cash,ind_0,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,ind_7,ind_8,ind_9,ind_10,ind_11,ind_12,ind_13,ind_14,ind_15,ind_16,ind_17
股票型,大盘平衡,"(2.009, 4.665]","(0.75, 1.0]",0.9181999999999999,0.0005,0.0699,0.5841,0.07150000000000001,0.1189,0.0282,0.0848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
股票指数,大盘价值,"(19.83, 186.94]","(0.75, 1.0]",0.9308,0.028399999999999998,0.0552,0.4426,0.2912,0.0,0.0349,0.0,0.0414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044800000000000006,0.0,0.0,0.0
股票指数,大盘价值,"(2.009, 4.665]","(0.5, 0.75]",0.9175,0.047,0.0504,0.4302,0.26780000000000004,0.057300000000000004,0.024900000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365,0.0,0.0,0.0
股票指数,大盘价值,"(2.009, 4.665]","(0.5, 0.75]",0.9175,0.047,0.0504,0.4302,0.26780000000000004,0.057300000000000004,0.024900000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365,0.0,0.0,0.0
混合型,大盘成长,"(4.665, 9.03]","(0.0, 0.25]",0.7959,0.0,0.2087,0.6286999999999999,0.0,0.0222,0.0286,0.0,0.0,0.025099999999999997,0.0,0.0,0.0,0.0,0.0,0.0335,0.0,0.0,0.0,0.0,0.0
混合型,大盘成长,"(4.665, 9.03]","(0.75, 1.0]",0.8401000000000001,0.0,0.1789,0.617,0.0,0.0158,0.0,0.0,0.0,0.10210000000000001,0.0,0.0,0.0,0.0,0.0,0.0636,0.0416,0.0,0.0,0.0,0.0
混合型,中盘价值,"(19.83, 186.94]","(0.75, 1.0]",0.8295999999999999,0.049100000000000005,0.1284,0.7313,0.0,0.025699999999999997,0.0,0.0,0.038599999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.016200000000000003,0.0,0.0,0.0,0.0,0.0096
混合型,中盘价值,"(19.83, 186.94]","(0.75, 1.0]",0.8295999999999999,0.049100000000000005,0.1284,0.7313,0.0,0.025699999999999997,0.0,0.0,0.038599999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.016200000000000003,0.0,0.0,0.0,0.0,0.0096
股票指数,大盘平衡,"(2.009, 4.665]","(0.25, 0.5]",0.9492,0.0,0.0681,0.49090000000000006,0.0617,0.0479,0.0,0.0,0.0,0.0,0.0737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1365,0.0,0.0
混合型,大盘平衡,"(19.83, 186.94]","(0.75, 1.0]",0.8085,0.0034000000000000002,0.193,0.39520000000000005,0.0271,0.2375,0.0,0.0718,0.0,0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
